"Newspaper","Negative","Neutral","Positive"
"The Advertiser","50%","26%","23%"
"The Age","36%","33%","31%"
"The Australian","54%","33%","13%"
"The Courier Mail","57%","26%","16%"
"The Daily Telegraph","65%","27%","8%"
"Herald Sun","59%","28%","12%"
"The Mercury","48%","27%","24%"
"The Northern Territory News","53%","29%","18%"
"The Sydney Morning Herald","42%","23%","36%"
"The West Australian","45%","33%","22%"
"Total","51%","29%","20%"
