"Newspaper","Negative","Neutral","Positive"
"The Advertiser","34%","51%","15%"
"The Age","15%","54%","31%"
"The Australian","47%","44%","9%"
"The Courier Mail","51%","40%","10%"
"The Daily Telegraph","58%","35%","7%"
"Herald Sun","50%","41%","9%"
"The Mercury","28%","55%","17%"
"The Northern Territory News","50%","33%","17%"
"The Sydney Morning Herald","27%","50%","23%"
"The West Australian","40%","36%","24%"
"Total","40%","44%","15%"
