"Newspaper","The Daily Telegraph","Herald Sun","The Australian","The Courier Mail","The Northern Territory News","The Advertiser","The West Australian","The Mercury","The Age","The Sydney Morning Herald"
"% Negative","89","85","84","83","75","69","63","62","53","33"
"% Positive","11","15","16","17","25","31","37","38","47","67"
