"Newspaper","The Daily Telegraph","Herald Sun","The Australian","The Courier Mail","The Northern Territory News","The Advertiser","The West Australian","The Mercury","The Age","The Sydney Morning Herald"
"% Negative","89","83","80","78","75","68","67","67","54","54"
"% Positive","11","17","20","22","25","32","33","33","46","46"
